req_id,system,class,C,S,V,R,x_C,x_S,x_R,text,F,rra,K,text_len,final_rank
ecommerce_f_054,ecommerce,f,0.5439613497544178,0.9000964743197801,0.1643261475818962,0.8356738524181038,0.5879226983329903,0.999740108256894,0.8634028159131785,The product shall remove players who have been inactive for 24 hours from the list of players.,1,0.12578616352201258,0.702472286250339,94,1
ecommerce_f_059,ecommerce,f,0.6570388254266822,0.8200223490559888,0.2039432041312109,0.7960567958687891,0.8140776492252092,0.8997192782743538,0.8164777841592097,Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,1,0.1839622641509434,0.8287512765557334,124,2
ecommerce_f_060,ecommerce,f,0.7017325373264358,0.6599738170193001,0.1997524419734842,0.8002475580265158,0.9034650728459416,0.699802176975272,0.8214415968311549,The product shall allow a player to position ships horizontally on their grid.,1,0.18867924528301885,0.7540192295963641,78,3
ecommerce_f_068,ecommerce,f,0.6661558000246717,0.6599818861959136,0.1950494224237799,0.8049505775762201,0.8323115983847202,0.6998122562079767,0.8270121606471391,For each turn  the product shall allow the offensive player to define a shot.,1,0.19182389937106917,0.7430954639772944,77,4
ecommerce_f_061,ecommerce,f,0.6826900419214192,0.65998113051655,0.2048126730031086,0.7951873269968914,0.8653800821120784,0.6998113122866177,0.8154479283855457,The product shall allow the player to position ships vertically on their grid.,1,0.1981132075471698,0.7466788766073491,78,5
ecommerce_f_069,ecommerce,f,0.7169045724895824,0.5799863190850097,0.1959289749426491,0.8040710250573508,0.9338091431115464,0.5998895534497781,0.8259703611427804,For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,1,0.2327044025157233,0.6932229530089066,132,6
ecommerce_mn_001,ecommerce,mn,0.5,0.9002424700464621,0.1874999999997656,0.8125000000002344,0.499999999,0.9999224719568848,0.835954190111898,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,1,0.25471698113207547,0.639312776344797,195,7
ecommerce_f_071,ecommerce,f,0.75,0.4199911063262784,0.1799277257163074,0.8200722742836926,0.999999998,0.4000390534206793,0.8449232868129295,For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,1,0.25471698113207547,0.5741799164159411,110,8
ecommerce_se_009,ecommerce,se,0.5,0.9000625886202462,0.1524859464516901,0.8475140535483099,0.499999999,0.9996977815279942,0.8774271241884967,A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,1,0.25864779874213834,0.646187483619415,97,9
ecommerce_us_015,ecommerce,us,0.5,0.9000715001892132,0.1562499999998047,0.8437500000001953,0.499999999,0.9997089129955136,0.8729687330899795,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,1,0.2594339622641509,0.6454462736809154,226,10
ecommerce_f_072,ecommerce,f,0.75,0.4199873464826192,0.1777690707684272,0.8222309292315728,0.999999998,0.4000343569886901,0.8474801388559139,For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,1,0.25943396226415094,0.5746029274684458,110,11
ecommerce_f_070,ecommerce,f,0.674047868188708,0.4599703512629434,0.1953945416531642,0.8046054583468358,0.8480957346812246,0.4499772481554608,0.8266033788695831,For each shot  the product shall notify the players whether the shot was a hit or miss.,1,0.27201257861635225,0.5791013510287752,87,12
ecommerce_f_008,ecommerce,f,0.6705968192895232,0.4199079822541995,0.0933738876311374,0.9066261123688626,0.8411936368966592,0.3999352228929843,0.9474433111241434,The product will record meeting acknowledgements.,1,0.2845911949685535,0.5647296399321232,49,13
ecommerce_se_018,ecommerce,se,0.5,0.7000198774068219,0.0490022337294133,0.9509977662705869,0.499999999,0.749823831090076,0.9999999988155348,Each team owner will need to use a username and password in order to be authenticated to reach the team owners page,1,0.2900943396226415,0.6249706376509351,115,14
ecommerce_f_066,ecommerce,f,0.6636379237603589,0.4200014353039349,0.1924678792936847,0.8075321207063153,0.8272758458661662,0.4000519553776432,0.8300699090995807,The product shall maintain the status of each player for a turn  either offensive or defensive.,1,0.3081761006289308,0.5429255960793866,95,15
ecommerce_f_085,ecommerce,f,0.6993160520526324,0.8199975775627577,0.3936107450493425,0.6063892549506575,0.8986321023080006,0.8996883361278775,0.5918231491233704,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,1,0.32075471698113206,0.6942688391548932,112,16
ecommerce_f_077,ecommerce,f,0.7101505712537389,0.6599712428672211,0.4120982063944039,0.5879017936055961,0.9203011406668756,0.699798961594191,0.5699253912829464,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,1,0.3584905660377358,0.6499669445654754,95,17
ecommerce_f_079,ecommerce,f,0.7192201361756105,0.5800201316245704,0.4140088387582877,0.5859911612417124,0.9384402704743404,0.5999317887943358,0.5676623134029983,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,1,0.3930817610062893,0.6348368854801116,106,18
ecommerce_f_078,ecommerce,f,0.7152241107024385,0.5800203068927077,0.4142067306475169,0.5857932693524831,0.9304482195439806,0.5999320077222916,0.5674279173121536,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,1,0.3962264150943396,0.6333486494191478,106,19
ecommerce_f_074,ecommerce,f,0.75,0.4200247251761258,0.359787072171828,0.6402129278281721,0.999999998,0.4000810468268355,0.6318861185122631,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,1,0.43238993710691825,0.5387017173032674,126,20
ecommerce_pe_005,ecommerce,pe,0.5,0.900304536020281,0.4999999999992188,0.5000000000007812,0.499999999,0.9999999987508972,0.4658087603312685,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,1,0.4599056603773584,0.5605391731793286,109,21
ecommerce_f_052,ecommerce,f,0.639351730415626,0.8200000776337846,0.2056982614899585,0.7943017385100415,0.7787034592738451,0.899691458974094,0.8143989794861076,The product shall allow a user to remove himself or herself from the list of players at any time.,2,0.1981132075471698,0.8048173792592637,97,22
ecommerce_f_057,ecommerce,f,0.6599169682892165,0.6200041443282666,0.1956844458687618,0.8043155541312382,0.8198339349387652,0.6498759389612129,0.8262599973640542,Once a game is initiated  the product shall display an offensive grid to each player.,2,0.21698113207547168,0.7075996146912784,85,23
ecommerce_f_062,ecommerce,f,0.6529033873415601,0.6599747473088875,0.2163662622786368,0.7836337377213631,0.8058067730715066,0.6998033390027851,0.8017631019282441,The product shall allow the player to position ships diagonally on their grid,2,0.24842767295597482,0.7344638718351486,77,24
ecommerce_pe_015,ecommerce,pe,0.5,0.9001089462530548,0.1874999999997656,0.8125000000002344,0.499999999,0.9997556869861466,0.835954190111898,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,2,0.2610062893081761,0.6392849788496741,228,25
ecommerce_us_011,ecommerce,us,0.5,0.9000556426334373,0.1562499999998047,0.8437500000001953,0.499999999,0.9996891052750426,0.8729687330899795,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,2,0.2657232704402515,0.6454429723941704,134,26
ecommerce_f_065,ecommerce,f,0.6589732340928331,0.4200128119429344,0.1953970619300765,0.8046029380699236,0.8179464665497734,0.4000661659715323,0.8266003936888444,For each turn  the product shall identify one player as offensive status and one player as defensive status.,2,0.3128930817610063,0.5408019206874579,108,27
ecommerce_sc_007,ecommerce,sc,0.5,0.900240959477231,0.2207756693877517,0.7792243306122483,0.499999999,0.9999205851003288,0.7965403118818954,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,2,0.324685534591195,0.6327434821637039,148,28
ecommerce_f_004,ecommerce,f,0.6994136878212709,0.2999144124368808,0.1910828938102454,0.8089171061897547,0.8988273738448871,0.2500508950135614,0.8317103764500078,The product shall record meeting entries.,2,0.3490566037735849,0.45512355505819,41,29
ecommerce_f_084,ecommerce,f,0.6671352088288269,0.6599728859402165,0.3608436964974321,0.6391563035025679,0.8342704159891131,0.6998010139615967,0.6306345835838851,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,2,0.3616352201257862,0.6761016273810417,135,30
ecommerce_o_018,ecommerce,o,0.5,0.5799759347110427,0.1455213740801884,0.8544786259198116,0.499999999,0.5998765822971166,0.885676419016312,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,2,0.37342767295597484,0.580925499552238,187,31
ecommerce_f_005,ecommerce,f,0.6512179968257108,0.2599263698818546,0.0940981479237319,0.905901852076268,0.8024359920465497,0.2001017111473039,0.9465854498848604,The product will notify employees of meeting invitations.,2,0.3742138364779874,0.4249047144201043,57,32
ecommerce_f_018,ecommerce,f,0.6694484255011859,0.2999198278538905,0.2026618217086153,0.7973381782913846,0.8388968493245781,0.2500576594271873,0.8179955372712924,The product shall record updated meeting agendas.,2,0.37421383647798745,0.4428538373841032,49,33
ecommerce_f_013,ecommerce,f,0.5575939786519392,0.259956544423323,0.1139040760561327,0.8860959239438673,0.6151879560735024,0.2001394022575355,0.9231260137863498,The product will update existing room equipment.,2,0.40251572327044033,0.38981192981499907,48,34
