req_id,system,class,C,S,V,R,x_C,x_S,x_R,text
ecommerce_a_001,ecommerce,a,0.5,0.5800965932705279,0.8124999999989845,0.18750000000101552,0.49999999900000003,0.6000272972655842,0.0956633305502689,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
ecommerce_a_002,ecommerce,a,0.5,0.9000788177655263,0.8124999999983594,0.18750000000164058,0.49999999900000003,0.9997180534020293,0.09566333055100926,The product shall be available for use 24 hours per day  365 days  per year
ecommerce_a_003,ecommerce,a,0.5,0.900076323747303,0.1874999999997656,0.8125000000002344,0.49999999900000003,0.9997149381163879,0.835954190111898,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.
ecommerce_a_004,ecommerce,a,0.5,0.5801049114015826,0.8124999999989845,0.18750000000101552,0.49999999900000003,0.600037687468028,0.0956633305502689,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.
ecommerce_a_005,ecommerce,a,0.5,0.5800634191701579,0.8124999999989845,0.18750000000101552,0.49999999900000003,0.5999858593973341,0.0956633305502689,Aside from server failure  the software product shall achieve 99.99% up time.
ecommerce_a_007,ecommerce,a,0.5,0.9002435048127019,0.5624999999995969,0.4375000000004031,0.49999999900000003,0.9999237644864979,0.3917796743745653,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.
ecommerce_f_001,ecommerce,f,0.3278922202505221,0.539958543032735,0.2965984131457142,0.7034015868542858,0.15578444018947535,0.54989073835296,0.7067308972403381,The product shall allow the user to save the property search results.
ecommerce_f_002,ecommerce,f,0.25,0.9000033648324369,0.261380085061702,0.7386199149382979,0.0,0.9996238049170494,0.7484457874318091,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.
ecommerce_f_003,ecommerce,f,0.25,0.4200439328270778,0.3321508485956001,0.6678491514043998,0.0,0.40010503916123696,0.6646202684423568,The adjuster shall review the collision estimate.
ecommerce_f_004,ecommerce,f,0.6994136878212709,0.2999144124368808,0.1910828938102454,0.8089171061897547,0.8988273738448871,0.2500508950135614,0.8317103764500078,The product shall record meeting entries.
ecommerce_f_005,ecommerce,f,0.6512179968257108,0.2599263698818546,0.0940981479237319,0.905901852076268,0.8024359920465497,0.2001017111473039,0.9465854498848605,The product will notify employees of meeting invitations.
ecommerce_f_006,ecommerce,f,0.6573333756421663,0.6199274071481654,0.2063244607915948,0.7936755392084052,0.8146667496549992,0.6497800863194394,0.8136572680952823,The product shall have the ability to send meeting reminders to employees.
ecommerce_f_007,ecommerce,f,0.5439338896944882,0.6199405067308505,0.2463022638033982,0.7536977361966017,0.5878677782132409,0.6497964490474525,0.7663049446472335,The product shall assign the organizers contact information to each meeting they create.
ecommerce_f_008,ecommerce,f,0.6705968192895232,0.4199079822541995,0.0933738876311374,0.9066261123688626,0.8411936368966592,0.39993522289298433,0.9474433111241434,The product will record meeting acknowledgements.
ecommerce_f_009,ecommerce,f,0.6057622095875695,0.4599414149145467,0.220061044097291,0.779938955902709,0.7115244177520903,0.44994110367590806,0.7973867607947599,The product shall store new conference rooms.
ecommerce_f_010,ecommerce,f,0.6147559659679261,0.2999353018461378,0.2201495242269994,0.7798504757730006,0.7295119304768285,0.25007698803730477,0.7972819591447182,The product shall update existing conference rooms.
ecommerce_f_011,ecommerce,f,0.4907951532102358,0.4199684709463658,0.123276199973232,0.876723800026768,0.48159030545729103,0.4000107794997546,0.9120250575135239,The product will be able to delete conference rooms.
ecommerce_f_012,ecommerce,f,0.6018945657621024,0.6199655155992465,0.213908373964185,0.7860916260358151,0.7037891301166267,0.6498276876999591,0.804674385533067,The product shall be able to store new room equipment.
ecommerce_f_013,ecommerce,f,0.5575939786519392,0.259956544423323,0.1139040760561327,0.8860959239438673,0.6151879560735024,0.2001394022575355,0.9231260137863498,The product will update existing room equipment.
ecommerce_f_014,ecommerce,f,0.5220646510262927,0.4599843760034912,0.2257206134822753,0.7742793865177247,0.5441293009643269,0.44999476650093456,0.7906831968191376,The product shall be able to delete room equipment.
ecommerce_f_015,ecommerce,f,0.5739850527148658,0.8199174110747036,0.2204254367793353,0.7795745632206648,0.6479701041337914,0.8995881999272566,0.7969551502798659,The product shall allow an organizer to invite other employees to meetings.
ecommerce_f_016,ecommerce,f,0.5010354085503022,0.2999802035165298,0.2267519234914373,0.7732480765085628,0.5020708160964626,0.2501330748484365,0.7894616458220849,The product shall record the transportation status of equipment reserved.
ecommerce_f_017,ecommerce,f,0.5012407722463568,0.299914775210345,0.2342055034319815,0.7657944965680186,0.5024815434877504,0.2500513481549834,0.780633138460479,The product shall display a map of the company building showing conference room locations.
ecommerce_f_018,ecommerce,f,0.6694484255011859,0.2999198278538905,0.2026618217086153,0.7973381782913846,0.8388968493245781,0.2500576594271873,0.8179955372712924,The product shall record updated meeting agendas.
ecommerce_f_019,ecommerce,f,0.6141640491205551,0.6199290540370588,0.2129941673203551,0.787005832679645,0.7283280967844541,0.6497821434532944,0.8057572316485528,The product shall send a meeting confirmation to the meeting organizer.
ecommerce_f_020,ecommerce,f,0.5005390151592674,0.4599438624840821,0.2271077434229967,0.7728922565770033,0.5010780293163787,0.4499441609423542,0.7890401894333111,The product shall display room equipment according to search parameters.
ecommerce_f_021,ecommerce,f,0.6158508478446059,0.4599074361860541,0.212592713236259,0.7874072867637409,0.7317016942258083,0.4498986607442571,0.8062327401109374,The product shall display conference rooms according to search parameters.
ecommerce_f_022,ecommerce,f,0.6688457123909365,0.2997585802465347,0.1996468087248406,0.8003531912751594,0.8376914231064901,0.24985624455731148,0.8215667157566536,The product shall record different meeting types.
ecommerce_f_023,ecommerce,f,0.4977277621863051,0.299976148006576,0.2303108236598555,0.7696891763401446,0.4954555233816992,0.2501280090987921,0.7852462517984439,The product shall record all the equipment that has been reserved.
ecommerce_f_024,ecommerce,f,0.4646374511656865,0.2999622124790891,0.2650841596229906,0.7349158403770094,0.4292749014728232,0.2501106021896202,0.744058439366433,The product shall notify building personnel of equipment transport requests.
ecommerce_f_025,ecommerce,f,0.4773636633841646,0.6599154933886432,0.2771090775013034,0.7228909224986966,0.45472732585887454,0.6997293247533255,0.7298153404987444,The product will allow priviledged users to view meeting schedules in multiple reporting views.
ecommerce_f_026,ecommerce,f,0.57487691790916,0.4597703492651027,0.2208555064810897,0.7791444935189102,0.6497538345188123,0.44972742506021884,0.796445747609172,The product shall be able to send meeting notifications via different kinds of end-user specified methods.
ecommerce_f_027,ecommerce,f,0.3905067897227838,0.4199381754804093,0.2852082952520626,0.7147917047479374,0.28101357888354045,0.3999729373423824,0.7202220975059543,The product shall have a customizable Look and Feel.
ecommerce_f_028,ecommerce,f,0.379818958876002,0.099903427256371,0.2824743699585055,0.7175256300414945,0.2596379172327281,0.00021657365849239948,0.7234603373548298,The product shall have an intuitive user interface.
ecommerce_f_029,ecommerce,f,0.4771899843726441,0.2599355031676468,0.1481583594020835,0.8518416405979166,0.4543799678365283,0.20011311956197464,0.8825530012073528,The product will display an available status for unreserved conference rooms.
ecommerce_f_030,ecommerce,f,0.6505995587238779,0.4199987115423423,0.2103420386614601,0.7896579613385399,0.8011991158453575,0.40004855311887033,0.808898586215855,The System shall allow generation of Inventory Quantity Adjustment documents on demand.
ecommerce_f_031,ecommerce,f,0.6400832945763142,0.4200211237580202,0.2116497640086796,0.7883502359913204,0.7801665875922953,0.4000765482846803,0.8073496308216711,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.
ecommerce_f_032,ecommerce,f,0.5420163795267556,0.4199772701437191,0.2477886558343016,0.7522113441656983,0.5840327578854457,0.4000217706035545,0.7645443647525065,The System shall allow entering  storing and modifying product formulas.
ecommerce_f_033,ecommerce,f,0.4581341109897131,0.2599775212034833,0.2712690639073569,0.7287309360926431,0.4162682211468897,0.20016560441653602,0.7367326343920559,Product formulas shall allow use of semi-products  which have own formulas.
ecommerce_f_034,ecommerce,f,0.5522456039025767,0.2599902310382536,0.2278326334674041,0.7721673665325959,0.6044912065961711,0.20018148030926017,0.7881815822748107,Product formula ingredients shall allow defining substitutionary ingredients.
ecommerce_f_035,ecommerce,f,0.4986729045908901,0.4200116148036605,0.2356706565751314,0.7643293434248686,0.49734580818708857,0.40006467062127543,0.7788977152929057,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.
ecommerce_f_036,ecommerce,f,0.4103482085807945,0.260052076216326,0.3084334710097338,0.6915665289902662,0.3206964165201962,0.20025873130664343,0.6927126809857338,Formula substitutionary ingredients shall be kept in persisted order
ecommerce_f_037,ecommerce,f,0.4680025993645789,0.4199836980894948,0.2621745589668606,0.7378254410331394,0.4360051978571474,0.40002979976989816,0.7475047605995694,Product shall allow entering  storing and modifying product menus used by POS terminals.
ecommerce_f_038,ecommerce,f,0.5064797761587346,0.2599814292092465,0.2289615042211246,0.7710384957788754,0.5129595512915501,0.20017048591825368,0.7868444739538399,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.
ecommerce_f_039,ecommerce,f,0.5091987914944975,0.5800082760245953,0.2339763550303949,0.7660236449696051,0.5183975819522,0.5999169799288558,0.7809045568079636,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.
ecommerce_f_040,ecommerce,f,0.4389923369064895,0.4999819401448148,0.2496402988380265,0.7503597011619735,0.3779846730570096,0.4999558438091882,0.7623511577271778,PME Subsystem shall allow for a product to exist in more than one submenu
ecommerce_f_041,ecommerce,f,0.6368300989294424,0.4600085197157291,0.212010124247664,0.787989875752336,0.7736601963115645,0.4500249244842899,0.8069227965959593,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.
ecommerce_f_042,ecommerce,f,0.6283850743449437,0.6200229674946112,0.4739432222546133,0.5260567777453867,0.7567701471763472,0.6498994510347381,0.4966721113616437,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.
ecommerce_f_043,ecommerce,f,0.2877230813022434,0.9000921370912964,0.2297749584394473,0.7702250415605527,0.07544616245359445,0.999734690611789,0.7858809655978449,shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.
ecommerce_f_044,ecommerce,f,0.25,0.8199625230142273,0.3290433484322755,0.6709566515677245,0.0,0.8996445493861913,0.6683009947895543,Website shall allow customers to add their own movie review for a selected movie.
ecommerce_f_045,ecommerce,f,0.265366367894956,0.9000007218626134,0.3164562754881022,0.6835437245118978,0.030732735728446512,0.9996205035755172,0.683209946868304,Website shall allow the Izogn administrator to approve a review posted by a customer.
