req_id,system,class,C,S,V,text
ecommerce_a_001,ecommerce,a,0.5,0.5800965932705279,0.8124999999989845,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
ecommerce_a_002,ecommerce,a,0.5,0.9000788177655263,0.8124999999983594,The product shall be available for use 24 hours per day  365 days  per year
ecommerce_a_003,ecommerce,a,0.5,0.900076323747303,0.1874999999997656,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.
ecommerce_a_004,ecommerce,a,0.5,0.5801049114015826,0.8124999999989845,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.
ecommerce_a_005,ecommerce,a,0.5,0.5800634191701579,0.8124999999989845,Aside from server failure  the software product shall achieve 99.99% up time.
ecommerce_a_007,ecommerce,a,0.5,0.9002435048127019,0.5624999999995969,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.
ecommerce_f_001,ecommerce,f,0.3278922202505221,0.539958543032735,0.2965984131457142,The product shall allow the user to save the property search results.
ecommerce_f_002,ecommerce,f,0.25,0.9000033648324369,0.261380085061702,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.
ecommerce_f_003,ecommerce,f,0.25,0.4200439328270778,0.3321508485956001,The adjuster shall review the collision estimate.
ecommerce_f_004,ecommerce,f,0.6994136878212709,0.2999144124368808,0.1910828938102454,The product shall record meeting entries.
ecommerce_f_005,ecommerce,f,0.6512179968257108,0.2599263698818546,0.0940981479237319,The product will notify employees of meeting invitations.
ecommerce_f_006,ecommerce,f,0.6573333756421663,0.6199274071481654,0.2063244607915948,The product shall have the ability to send meeting reminders to employees.
ecommerce_f_007,ecommerce,f,0.5439338896944882,0.6199405067308505,0.2463022638033982,The product shall assign the organizers contact information to each meeting they create.
ecommerce_f_008,ecommerce,f,0.6705968192895232,0.4199079822541995,0.0933738876311374,The product will record meeting acknowledgements.
ecommerce_f_009,ecommerce,f,0.6057622095875695,0.4599414149145467,0.220061044097291,The product shall store new conference rooms.
ecommerce_f_010,ecommerce,f,0.6147559659679261,0.2999353018461378,0.2201495242269994,The product shall update existing conference rooms.
ecommerce_f_011,ecommerce,f,0.4907951532102358,0.4199684709463658,0.123276199973232,The product will be able to delete conference rooms.
