req_id,system,class,source,text,numbers_count,units_count,explicit_quantifiers,modal_score,strong_modal,weak_modal,actor_score,actor_specific,vague_lex_hits,comparative_unanchored,open_quantifier,num_present,unit_present,kpi_near,std_present,cue_score,L,sim_spec_sys,sim_vague_sys,M_raw_sys,M_sys,w_L_sys,w_M_sys,bank_Q_sys,bank_shrink_a_sys,VB_size_sys,SB_size_sys,S_final_sys
ecommerce_a_001,ecommerce,a,unchanged,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,1,1,1,1.0,1,0,0.0,0,1,False,False,1,1,0,0,3.0,0.6,0.9335076808929443,0.8897526860237122,0.5218775272369385,0.5004829663526396,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.5800965932705279
ecommerce_a_002,ecommerce,a,merge_accept,The product shall be available for use 24 hours per day  365 days  per year,2,4,0,1.0,1,0,0.0,0,0,False,False,1,1,1,0,7.0,1.0,0.9041663408279419,0.8684632778167725,0.5178515315055847,0.5003940888276316,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.9000788177655263
ecommerce_a_003,ecommerce,a,unchanged,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,1,2,2,1.0,1,0,0.0,0,0,False,False,1,1,0,0,6.0,1.0,0.9054516553878784,0.8708783388137817,0.5172866582870483,0.5003816187365145,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.900076323747303
ecommerce_a_004,ecommerce,a,unchanged,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,2,0,0,1.0,1,0,0.0,0,0,False,False,1,0,0,0,3.0,0.6,0.9220181703567505,0.8744951486587524,0.523761510848999,0.5005245570079132,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.5801049114015826
ecommerce_a_005,ecommerce,a,unchanged,Aside from server failure  the software product shall achieve 99.99% up time.,1,0,1,1.0,1,0,0.0,0,0,False,False,1,0,0,0,3.0,0.6,0.8959685564041138,0.8672407865524292,0.5143638849258423,0.5003170958507895,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.5800634191701579
ecommerce_a_007,ecommerce,a,unchanged,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,2,0,2,1.0,1,0,1.0,1,0,False,False,1,0,0,0,6.0,1.0,0.9163477420806885,0.8611960411071777,0.5275758504867554,0.5012175240635091,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.9002435048127019
ecommerce_f_001,ecommerce,f,unchanged,The product shall allow the user to save the property search results.,0,0,1,1.0,1,0,0.0,0,0,False,False,0,0,0,0,2.75,0.55,0.8537895679473877,0.8725688457489014,0.49061036109924316,0.4997927151636751,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.539958543032735
ecommerce_f_002,ecommerce,f,unchanged,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,3,0,2,1.0,1,0,0.0,0,0,False,False,1,0,0,0,6.75,1.0,0.8436480760574341,0.8421238660812378,0.5007621049880981,0.5000168241621845,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.9000033648324369
ecommerce_f_003,ecommerce,f,unchanged,The adjuster shall review the collision estimate.,0,0,0,1.0,1,0,1.0,1,0,False,False,0,0,0,0,2.0,0.4,0.8379215002059937,0.8180206418037415,0.5099503993988037,0.5002196641353889,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.42004393282707786
ecommerce_f_004,ecommerce,f,unchanged,The product shall record meeting entries.,0,0,0,1.0,1,0,0.0,0,0,False,False,0,0,0,0,1.25,0.25,0.8625204563140869,0.9012901186943054,0.48061516880989075,0.4995720621844038,0.8,0.2,1.0220759113865556,0.04415182277311125,10.0,32.0,0.2999144124368808
