system,class,req_id,C1,C2,C3,w_C1,w_C2,w_C3,Criticality
ecommerce,a,ecommerce_a_001,0.5,0.5,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5
ecommerce,a,ecommerce_a_002,0.5,0.5,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5
ecommerce,a,ecommerce_a_003,0.5,0.5,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5
ecommerce,a,ecommerce_a_004,0.5,0.5,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5
ecommerce,a,ecommerce_a_005,0.5,0.5,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5
ecommerce,a,ecommerce_a_007,0.5,0.5,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5
ecommerce,f,ecommerce_f_001,0.5,0.15578444050104417,0.5,0.25000000000000006,0.5,0.25000000000000006,0.3278922202505221
ecommerce,f,ecommerce_f_002,0.5,0.0,0.5,0.25000000000000006,0.5,0.25000000000000006,0.25000000000000006
ecommerce,f,ecommerce_f_003,0.5,0.0,0.5,0.25000000000000006,0.5,0.25000000000000006,0.25000000000000006
ecommerce,f,ecommerce_f_004,0.5,0.8988273756425417,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6994136878212709
ecommerce,f,ecommerce_f_005,0.5,0.8024359936514216,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6512179968257108
ecommerce,f,ecommerce_f_006,0.5,0.8146667512843325,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6573333756421663
ecommerce,f,ecommerce_f_007,0.5,0.5878677793889764,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5439338896944882
ecommerce,f,ecommerce_f_008,0.5,0.8411936385790463,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6705968192895232
ecommerce,f,ecommerce_f_009,0.5,0.711524419175139,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6057622095875695
ecommerce,f,ecommerce_f_010,0.5,0.7295119319358523,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6147559659679261
ecommerce,f,ecommerce_f_011,0.5,0.4815903064204716,0.5,0.25000000000000006,0.5,0.25000000000000006,0.4907951532102358
ecommerce,f,ecommerce_f_012,0.5,0.7037891315242049,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6018945657621024
ecommerce,f,ecommerce_f_013,0.5,0.6151879573038782,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5575939786519392
ecommerce,f,ecommerce_f_014,0.5,0.5441293020525854,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5220646510262927
ecommerce,f,ecommerce_f_015,0.5,0.6479701054297314,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5739850527148658
ecommerce,f,ecommerce_f_016,0.5,0.5020708171006043,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5010354085503022
ecommerce,f,ecommerce_f_017,0.5,0.5024815444927134,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5012407722463568
ecommerce,f,ecommerce_f_018,0.5,0.8388968510023717,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6694484255011859
ecommerce,f,ecommerce_f_019,0.5,0.7283280982411101,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6141640491205551
ecommerce,f,ecommerce_f_020,0.5,0.5010780303185346,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5005390151592674
ecommerce,f,ecommerce_f_021,0.5,0.7317016956892116,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6158508478446059
ecommerce,f,ecommerce_f_022,0.5,0.837691424781873,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6688457123909365
ecommerce,f,ecommerce_f_023,0.5,0.4954555243726102,0.5,0.25000000000000006,0.5,0.25000000000000006,0.4977277621863051
ecommerce,f,ecommerce_f_024,0.5,0.429274902331373,0.5,0.25000000000000006,0.5,0.25000000000000006,0.46463745116568655
ecommerce,f,ecommerce_f_025,0.5,0.4547273267683291,0.5,0.25000000000000006,0.5,0.25000000000000006,0.4773636633841646
ecommerce,f,ecommerce_f_026,0.5,0.6497538358183199,0.5,0.25000000000000006,0.5,0.25000000000000006,0.57487691790916
ecommerce,f,ecommerce_f_027,0.5,0.28101357944556765,0.5,0.25000000000000006,0.5,0.25000000000000006,0.39050678972278385
ecommerce,f,ecommerce_f_028,0.5,0.25963791775200395,0.5,0.25000000000000006,0.5,0.25000000000000006,0.37981895887600203
ecommerce,f,ecommerce_f_029,0.5,0.4543799687452882,0.5,0.25000000000000006,0.5,0.25000000000000006,0.47718998437264415
ecommerce,f,ecommerce_f_030,0.5,0.8011991174477556,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6505995587238779
ecommerce,f,ecommerce_f_031,0.5,0.7801665891526283,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6400832945763142
ecommerce,f,ecommerce_f_032,0.5,0.5840327590535112,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5420163795267556
ecommerce,f,ecommerce_f_033,0.5,0.41626822197942615,0.5,0.25000000000000006,0.5,0.25000000000000006,0.45813411098971313
ecommerce,f,ecommerce_f_034,0.5,0.6044912078051533,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5522456039025767
ecommerce,f,ecommerce_f_035,0.5,0.4973458091817802,0.5,0.25000000000000006,0.5,0.25000000000000006,0.4986729045908901
ecommerce,f,ecommerce_f_036,0.5,0.32069641716158914,0.5,0.25000000000000006,0.5,0.25000000000000006,0.41034820858079457
ecommerce,f,ecommerce_f_037,0.5,0.43600519872915766,0.5,0.25000000000000006,0.5,0.25000000000000006,0.4680025993645789
ecommerce,f,ecommerce_f_038,0.5,0.5129595523174693,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5064797761587346
ecommerce,f,ecommerce_f_039,0.5,0.518397582988995,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5091987914944975
ecommerce,f,ecommerce_f_040,0.5,0.37798467381297896,0.5,0.25000000000000006,0.5,0.25000000000000006,0.43899233690648953
ecommerce,f,ecommerce_f_041,0.5,0.7736601978588848,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6368300989294424
ecommerce,f,ecommerce_f_042,0.5,0.7567701486898873,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6283850743449437
ecommerce,f,ecommerce_f_043,0.5,0.07544616260448668,0.5,0.25000000000000006,0.5,0.25000000000000006,0.2877230813022434
ecommerce,f,ecommerce_f_044,0.5,0.0,0.5,0.25000000000000006,0.5,0.25000000000000006,0.25000000000000006
ecommerce,f,ecommerce_f_045,0.5,0.03073273578991185,0.5,0.25000000000000006,0.5,0.25000000000000006,0.265366367894956
ecommerce,f,ecommerce_f_046,0.5,0.0,0.5,0.25000000000000006,0.5,0.25000000000000006,0.25000000000000006
ecommerce,f,ecommerce_f_047,0.5,0.1660113178631961,0.5,0.25000000000000006,0.5,0.25000000000000006,0.33300565893159806
ecommerce,f,ecommerce_f_048,0.5,0.0,0.5,0.25000000000000006,0.5,0.25000000000000006,0.25000000000000006
ecommerce,f,ecommerce_f_049,0.5,0.5696174010973132,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5348087005486566
ecommerce,f,ecommerce_f_050,0.5,0.6361496057861958,0.5,0.25000000000000006,0.5,0.25000000000000006,0.568074802893098
ecommerce,f,ecommerce_f_051,0.5,0.7164503314640462,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6082251657320231
ecommerce,f,ecommerce_f_052,0.5,0.7787034608312519,0.5,0.25000000000000006,0.5,0.25000000000000006,0.639351730415626
ecommerce,f,ecommerce_f_053,0.5,0.7146844383793436,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6073422191896718
ecommerce,f,ecommerce_f_054,0.5,0.5879226995088356,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5439613497544178
ecommerce,f,ecommerce_f_055,0.5,0.5843754230492136,0.5,0.25000000000000006,0.5,0.25000000000000006,0.5421877115246069
ecommerce,f,ecommerce_f_056,0.5,0.7567851695773702,0.5,0.25000000000000006,0.5,0.25000000000000006,0.6283925847886851
